N,Best Case,Worst Case, Average Case
1,1,1,1.0
2,1,3,2.0
3,1,3,2.3333333333333335
4,1,5,3.0
5,1,5,3.4
6,1,5,3.6666666666666665
7,1,5,3.857142857142857
8,1,7,4.25
9,1,7,4.555555555555555
10,1,7,4.8
11,1,7,5.0
12,1,9,5.333333333333333
13,1,9,5.615384615384615
14,1,9,5.714285714285714
15,1,9,5.8
16,1,9,5.875
17,1,9,6.0588235294117645
18,1,9,6.111111111111111
19,1,9,6.2631578947368425
20,1,9,6.4
21,1,9,6.523809523809524
22,1,9,6.636363636363637
23,1,11,6.826086956521739
24,1,11,7.0
25,1,11,7.08
26,1,11,7.153846153846154
27,1,11,7.296296296296297
28,1,11,7.357142857142857
29,1,11,7.413793103448276
30,1,11,7.533333333333333
31,1,11,7.580645161290323
32,1,11,7.6875
33,1,11,7.787878787878788
34,1,11,7.823529411764706
35,1,11,7.914285714285715
36,1,11,8.0
37,1,11,8.08108108108108
38,1,11,8.157894736842104
39,1,11,8.23076923076923
40,1,11,8.3
41,1,11,8.365853658536585
42,1,11,8.428571428571429
43,1,11,8.488372093023257
44,1,11,8.545454545454545
45,1,11,8.6
46,1,11,8.652173913043478
47,1,11,8.702127659574469
48,1,11,8.666666666666666
49,1,13,8.755102040816327
50,1,13,8.84
51,1,13,8.882352941176471
52,1,13,8.923076923076923
53,1,13,8.962264150943396
54,1,13,9.037037037037036
55,1,13,9.10909090909091
56,1,13,9.178571428571429
57,1,13,9.24561403508772
58,1,13,9.310344827586206
59,1,13,9.338983050847459
60,1,13,9.4
61,1,13,9.459016393442623
62,1,13,9.483870967741936
63,1,13,9.53968253968254
64,1,13,9.59375
65,1,13,9.584615384615384
66,1,13,9.636363636363637
67,1,13,9.686567164179104
68,1,13,9.735294117647058
69,1,13,9.782608695652174
70,1,13,9.82857142857143
71,1,13,9.873239436619718
72,1,13,9.88888888888889
73,1,13,9.931506849315069
74,1,13,9.945945945945946
75,1,13,9.986666666666666
76,1,13,10.026315789473685
77,1,13,10.064935064935066
78,1,13,10.102564102564102
79,1,15,10.164556962025317
80,1,15,10.2
81,1,15,10.234567901234568
82,1,15,10.24390243902439
83,1,15,10.301204819277109
84,1,15,10.333333333333334
85,1,15,10.388235294117647
86,1,15,10.418604651162791
87,1,15,10.471264367816092
