N,Best Case,Worst Case, Average Case
1,1,1,1.0
2,1,3,2.0
3,1,5,3.0
4,1,5,3.5
5,1,5,3.8
6,1,8,4.5
7,1,8,4.857142857142857
8,1,8,5.125
9,1,8,5.333333333333333
10,1,8,5.5
11,1,9,5.818181818181818
12,1,9,6.083333333333333
13,1,11,6.461538461538462
14,1,11,6.5
15,1,11,6.533333333333333
16,1,11,6.6875
17,1,11,6.823529411764706
18,1,11,6.833333333333333
19,1,11,6.947368421052632
20,1,11,7.05
21,1,11,7.238095238095238
22,1,11,7.318181818181818
23,1,11,7.478260869565218
24,1,11,7.625
25,1,11,7.68
26,1,11,7.8076923076923075
27,1,11,7.925925925925926
28,1,11,7.964285714285714
29,1,11,8.068965517241379
30,1,11,8.166666666666666
31,1,11,8.193548387096774
32,1,11,8.28125
33,1,14,8.454545454545455
34,1,14,8.470588235294118
35,1,14,8.542857142857143
36,1,14,8.61111111111111
37,1,14,8.756756756756756
38,1,14,8.894736842105264
39,1,14,8.948717948717949
40,1,14,9.075
41,1,14,9.195121951219512
42,1,14,9.238095238095237
43,1,14,9.279069767441861
44,1,14,9.363636363636363
45,1,14,9.444444444444445
46,1,14,9.521739130434783
47,1,14,9.553191489361701
48,1,14,9.645833333333334
49,1,14,9.714285714285714
50,1,14,9.78
51,1,14,9.803921568627452
52,1,14,9.884615384615385
53,1,14,9.962264150943396
54,1,14,10.018518518518519
55,1,14,10.072727272727272
56,1,14,10.125
57,1,14,10.175438596491228
58,1,14,10.224137931034482
59,1,14,10.288135593220339
60,1,14,10.333333333333334
61,1,14,10.37704918032787
62,1,14,10.435483870967742
63,1,14,10.476190476190476
64,1,14,10.515625
65,1,14,10.553846153846154
66,1,14,10.590909090909092
67,1,16,10.671641791044776
68,1,16,10.735294117647058
69,1,16,10.768115942028986
70,1,16,10.842857142857143
71,1,16,10.901408450704226
72,1,16,10.930555555555555
73,1,16,11.0
74,1,16,11.0
75,1,16,11.066666666666666
76,1,16,11.092105263157896
77,1,16,11.142857142857142
78,1,16,11.192307692307692
79,1,16,11.240506329113924
80,1,16,11.2875
81,1,16,11.333333333333334
82,1,16,11.365853658536585
83,1,16,11.409638554216867
84,1,16,11.428571428571429
85,1,16,11.470588235294118
86,1,16,11.523255813953488
87,1,17,11.586206896551724
88,1,17,11.613636363636363
