N,Best Case,Worst Case, Average Case
1,2,2,2.0
2,2,4,3.0
3,2,6,4.0
4,2,6,4.5
5,2,6,4.4
6,2,6,4.666666666666667
7,2,8,5.142857142857143
8,2,8,5.5
9,2,8,5.777777777777778
10,2,8,6.0
11,2,10,6.363636363636363
12,2,10,6.666666666666667
13,2,12,7.076923076923077
14,2,12,7.285714285714286
15,2,12,7.466666666666667
16,2,12,7.75
17,2,12,7.764705882352941
18,2,12,7.777777777777778
19,2,12,7.894736842105263
20,2,12,8.1
21,2,12,8.285714285714286
22,2,12,8.363636363636363
23,2,12,8.26086956521739
24,2,14,8.5
25,2,14,8.72
26,2,14,8.923076923076923
27,2,14,8.962962962962964
28,2,14,9.071428571428571
29,2,14,9.241379310344827
30,2,16,9.466666666666667
31,2,16,9.548387096774194
32,2,16,9.625
33,2,16,9.757575757575758
34,2,16,9.882352941176471
35,2,16,10.0
36,2,16,10.11111111111111
37,2,18,10.324324324324325
38,2,18,10.473684210526315
39,2,18,10.512820512820513
40,2,18,10.65
41,2,18,10.731707317073171
42,2,18,10.857142857142858
43,2,18,10.930232558139535
44,2,18,11.090909090909092
45,2,18,11.2
46,2,18,11.347826086956522
47,2,18,11.319148936170214
48,2,18,11.375
49,2,18,11.428571428571429
50,2,18,11.52
51,2,18,11.490196078431373
52,2,18,11.5
53,2,20,11.660377358490566
54,2,22,11.851851851851851
55,2,22,11.854545454545455
56,2,22,11.892857142857142
57,2,22,11.964912280701755
58,2,22,12.03448275862069
59,2,22,12.033898305084746
60,2,22,12.1
61,2,22,12.19672131147541
62,2,22,12.258064516129032
63,2,22,12.380952380952381
64,2,22,12.53125
65,2,22,12.553846153846154
66,2,22,12.606060606060606
67,2,22,12.656716417910447
68,2,22,12.735294117647058
69,2,22,12.72463768115942
70,2,22,12.8
71,2,22,12.816901408450704
72,2,22,12.88888888888889
73,2,24,13.04109589041096
74,2,24,13.027027027027026
75,2,24,13.093333333333334
76,2,24,13.026315789473685
77,2,24,13.090909090909092
78,2,24,13.076923076923077
79,2,24,13.063291139240507
80,2,24,13.15
81,2,24,13.25925925925926
82,2,24,13.292682926829269
83,2,24,13.349397590361447
84,2,24,13.357142857142858
85,2,24,13.435294117647059
86,2,24,13.534883720930232
87,2,24,13.60919540229885
88,2,24,13.659090909090908
89,2,24,13.685393258426966
90,2,24,13.688888888888888
91,2,24,13.802197802197803
92,2,24,13.847826086956522
93,2,24,13.89247311827957
94,2,24,13.936170212765957
95,2,24,14.0
96,2,24,14.020833333333334
97,2,24,14.041237113402062
98,2,24,14.10204081632653
99,2,26,14.222222222222221
100,2,26,14.26
101,2,26,14.217821782178218
102,2,26,14.215686274509803
103,2,26,14.174757281553399
104,2,26,14.153846153846153
105,2,26,14.114285714285714
106,2,26,14.132075471698114
107,2,26,14.16822429906542
108,2,26,14.185185185185185
109,2,26,14.238532110091743
110,2,26,14.272727272727273
111,2,26,14.306306306306306
112,2,26,14.339285714285714
113,2,26,14.389380530973451
114,2,26,14.43859649122807
115,2,26,14.417391304347825
116,2,26,14.431034482758621
117,2,26,14.461538461538462
118,2,26,14.474576271186441
119,2,26,14.470588235294118
120,2,26,14.45
121,2,26,14.52892561983471
122,2,26,14.573770491803279
123,2,26,14.56910569105691
124,2,26,14.612903225806452
125,2,26,14.688
126,2,26,14.714285714285714
127,2,26,14.771653543307087
128,2,26,14.75
129,2,26,14.775193798449612
130,2,26,14.846153846153847
131,2,26,14.900763358778626
132,2,26,14.893939393939394
133,2,26,14.93233082706767
134,2,26,14.940298507462687
135,2,26,14.933333333333334
136,2,26,14.985294117647058
137,2,26,15.021897810218977
138,2,26,15.028985507246377
139,2,26,15.079136690647482
140,2,26,15.1
141,2,26,15.106382978723405
142,2,26,15.169014084507042
143,2,26,15.174825174825175
144,2,26,15.23611111111111
145,2,26,15.310344827586206
146,2,26,15.383561643835616
147,2,26,15.401360544217686
148,2,26,15.445945945945946
149,2,26,15.516778523489933
150,2,26,15.546666666666667
151,2,26,15.57615894039735
152,2,26,15.618421052631579
153,2,26,15.633986928104575
154,2,26,15.636363636363637
155,2,26,15.703225806451613
156,2,26,15.692307692307692
157,2,26,15.668789808917197
158,2,26,15.658227848101266
159,2,26,15.71069182389937
160,2,26,15.7375
161,2,26,15.751552795031056
162,2,26,15.790123456790123
163,2,26,15.779141104294478
164,2,26,15.78048780487805
165,2,26,15.793939393939393
166,2,26,15.795180722891565
167,2,26,15.820359281437126
168,2,26,15.869047619047619
169,2,26,15.881656804733728
170,2,26,15.894117647058824
171,2,26,15.871345029239766
172,2,26,15.872093023255815
173,2,26,15.907514450867051
174,2,26,15.954022988505747
175,2,26,15.954285714285714
176,2,26,15.988636363636363
177,2,26,16.045197740112993
178,2,26,16.10112359550562
179,2,26,16.134078212290504
180,2,26,16.166666666666668
181,2,26,16.1878453038674
182,2,26,16.208791208791208
183,2,26,16.19672131147541
184,2,26,16.206521739130434
185,2,26,16.194594594594594
186,2,26,16.193548387096776
187,2,26,16.192513368983956
188,2,26,16.22340425531915
189,2,26,16.243386243386244
190,2,26,16.294736842105262
191,2,26,16.31413612565445
192,2,26,16.291666666666668
193,2,26,16.321243523316063
194,2,26,16.350515463917525
195,2,26,16.358974358974358
196,2,26,16.397959183673468
197,2,26,16.446700507614214
198,2,26,16.494949494949495
199,2,28,16.55276381909548
200,2,28,16.58
201,2,28,16.63681592039801
202,2,28,16.643564356435643
203,2,28,16.679802955665025
204,2,28,16.666666666666668
205,2,28,16.673170731707316
206,2,28,16.718446601941746
207,2,28,16.734299516908212
