N,Best Case,Worst Case, Average Case
1,0,0,0.0
2,0,2,1.0
3,0,2,1.3333333333333333
4,0,2,1.5
5,0,2,1.6
6,0,2,1.6666666666666667
7,0,2,1.7142857142857142
8,0,2,1.75
9,0,2,1.7777777777777777
10,0,2,1.8
11,0,2,1.8181818181818181
12,0,2,1.8333333333333333
13,0,2,1.8461538461538463
14,0,2,1.8571428571428572
15,0,2,1.8666666666666667
16,0,2,1.875
17,0,2,1.8823529411764706
18,0,2,1.8888888888888888
19,0,2,1.894736842105263
20,0,2,1.9
21,0,2,1.9047619047619047
22,0,2,1.9090909090909092
23,0,2,1.9130434782608696
24,0,2,1.9166666666666667
25,0,2,1.92
26,0,2,1.9230769230769231
27,0,2,1.9259259259259258
28,0,2,1.9285714285714286
29,0,2,1.9310344827586208
30,0,2,1.9333333333333333
31,0,2,1.935483870967742
32,0,2,1.9375
33,0,2,1.9393939393939394
34,0,2,1.9411764705882353
35,0,2,1.9428571428571428
36,0,2,1.9444444444444444
37,0,2,1.945945945945946
38,0,2,1.9473684210526316
39,0,2,1.9487179487179487
40,0,2,1.95
41,0,2,1.951219512195122
42,0,2,1.9523809523809523
43,0,2,1.9534883720930232
44,0,2,1.9545454545454546
45,0,2,1.9555555555555555
46,0,2,1.9565217391304348
47,0,2,1.9574468085106382
48,0,2,1.9583333333333333
49,0,2,1.9591836734693877
50,0,2,1.96
51,0,2,1.9607843137254901
52,0,2,1.9615384615384615
53,0,2,1.9622641509433962
54,0,2,1.962962962962963
55,0,2,1.9636363636363636
56,0,2,1.9642857142857142
57,0,2,1.9649122807017543
58,0,2,1.9655172413793103
59,0,2,1.9661016949152543
60,0,2,1.9666666666666666
61,0,2,1.9672131147540983
62,0,2,1.967741935483871
63,0,2,1.9682539682539681
64,0,2,1.96875
65,0,2,1.9692307692307693
66,0,2,1.9696969696969697
67,0,2,1.9701492537313432
68,0,2,1.9705882352941178
69,0,2,1.9710144927536233
70,0,2,1.9714285714285715
71,0,2,1.971830985915493
72,0,2,1.9722222222222223
